DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
53029,53029 A,TEXAS INSTRUMENTS,TEXAS,,1,2,2,1,0,1,,930204,990806,0,I,2,10:44.0,I
45015,45015 A,SOUND APPROACH,SOUND,,1,2,2,0,0,1,,930205,941219,0,I,2,10:44.0,I
42004,210S1 A,ABL ELECTRONICS-210S1A,ABL EL,,1,2,2,0,0,1,,930205,941219,0,I,2,10:44.0,I
3100,310609A,COMPUTER CENTER-310609A,COMPUT,,2,2,2,1,0,1,,930205,941219,0,I,2,10:44.0,I
42062,42062 A,AUDIO VIDEO,AUDIO,,1,2,2,1,0,2,,930205,980624,0,I,2,10:44.0,I
40229,40229 A,ASIEN'S APPLIANCE,ASIEN',,1,2,2,1,0,1,,930205,980624,0,I,2,10:44.0,I
53085,53085 A,US COAST GUARD,US COA,,1,2,2,1,0,1,,930208,941219,0,I,1,10:44.0,I
53080,53080 A,US COAST GUARD,US COA,,1,2,2,1,0,1,,930208,941219,0,I,1,10:44.0,I
53061,53061 A,US COAST GUARD,US COA,,1,2,2,1,0,1,,930209,941219,0,I,1,10:44.0,I
13,ABAR01A,AUDIO WORLD-ABAR01,AUDIO,,1,2,2,0,0,2,,930209,941219,0,I,2,10:44.0,I
6202,6202  A,LEE'S FURNITURE,LEE'S,,1,2,2,0,0,2,,930212,950614,0,I,2,10:44.0,I
6203,6203  A,SOFA WORLD,SOFA W,,1,2,2,0,0,1,,930212,950614,0,I,2,10:44.0,I
6206,6206  A,FURNITURE DISCOUNTERS,FURNIT,,1,2,2,0,0,1,,930212,950614,0,I,2,10:44.0,I
6204,6204  A,TARHEEL FURNITURE COMPANY,TARHEE,,1,2,2,0,0,2,,930212,950614,0,I,2,10:44.0,I
6207,6207  A,VOGUE FURNITURE,VOGUE,,1,2,2,0,0,2,,930212,950614,0,I,2,10:44.0,I
6207,6207  B,VOGUE FURNITURE,VOGUE,,1,2,2,0,0,2,,930212,950614,0,I,2,10:44.0,I
6208,6208  A,STANDARD FURNITURE,STANDA,,1,2,2,0,0,2,,930212,950614,0,I,2,10:44.0,I
4005,4005  A,COAST TO COAST INC       4005,3210,,1,2,2,0,0,1,,930212,960306,0,I,2,10:44.0,I
53091,53091 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930215,941219,0,I,1,10:44.0,I
53088,53088 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,0,0,1,,930215,941219,0,I,2,10:44.0,I
53088,46018 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,0,0,1,,930215,941219,0,I,2,10:44.0,I
